country_name,regions
Albania,Southern Europe
Andorra,Southern Europe
Armenia,Central Europe
Austria,Western Europe
Azerbaijan,Central Europe
Belarus,Eastern Europe
Belgium,Western Europe
Bosnia and Herzegovina,Southern Europe
Bulgaria,Eastern Europe
Croatia,Southern Europe
Cyprus,Southern Europe
Czechia,Eastern Europe
Denmark,Northern Europe
Estonia,Northern Europe
Finland,Northern Europe
France,Western Europe
Georgia,Eastern Europe
Germany,Western Europe
Greece,Southern Europe
Hungary,Eastern Europe
Iceland,Northern Europe
Ireland,Northern Europe
Israel,Central Europe
Italy,Southern Europe
Kazakhstan,Eastern Europe
Latvia,Eastern Europe
Lithuania,Eastern Europe
Luxembourg,Western Europe
Malta,Southern Europe
Monaco,Western Europe
Montenegro,Southern Europe
Netherlands,Western Europe
North Macedonia,Southern Europe
Norway,Northern Europe
Poland,Eastern Europe
Portugal,Southern Europe
Republic of Moldova,Eastern Europe
Romania,Eastern Europe
Russian Federation,Eastern Europe
San Marino,Southern Europe
Serbia,Southern Europe
Slovakia,Eastern Europe
Slovenia,Southern Europe
Spain,Southern Europe
Sweden,Northern Europe
Switzerland,Western Europe
Ukraine,Eastern Europe
United Kingdom,Northern Europe
